Matrix Size,Eigenvalue,Kinetic Difference,Log Kinetic Difference
854,1.84623093797280507110150166541671888,0.0037961238395419142347639345510392569065439701080,-2.42065962818562585567860878654755651950836181640625
855,1.84623093797167797574470493957802364,0.0037961238384148188779672087123440169065439701080,-2.420659628314570710472253267653286457061767578125
856,1.84623093797055613953529243520774477,0.0037961238372929826685547043420651469065439701080,-2.4206596284429142684757607639767229557037353515625
857,1.84623093796943953183430661458963541,0.0037961238361763749675688837239557869065439701080,-2.4206596285706591942243903758935630321502685546875
858,1.84623093796832812221673802831971825,0.0037961238350649653500002974540386269065439701080,-2.42065962869780992861024060402996838092803955078125
859,1.84623093796722188046978437216962812,0.0037961238339587236030466413039484969065439701080,-2.4206596288243691361685705487616360187530517578125
860,1.84623093796612077659112571505785320,0.0037961238328576197243879841921735769065439701080,-2.42065962895034036961305901058949530124664306640625
861,1.84623093796502478078721572885616414,0.0037961238317616239204779979904845169065439701080,-2.420659629075727625746594640077091753482818603515625
862,1.84623093796393386347158875359832511,0.0037961238306707066048510227326454869065439701080,-2.420659629200533569104436537600122392177581787109375
863,1.84623093796284799526318253680235615,0.0037961238295848383964448059366765269065439701080,-2.420659629324762196489473353722132742404937744140625
864,1.84623093796176714698467647728760501,0.0037961238285039901179387464219253869065439701080,-2.420659629448416172436964188818819820880889892578125
865,1.84623093796069128966084521395342872,0.0037961238274281327941074830877490969065439701080,-2.420659629571499493749797693453729152679443359375
866,1.84623093795962039451692740936974719,0.0037961238263572376501896785040675669065439701080,-2.4206596296940148249632329680025577545166015625
867,1.84623093795855443297700955643058864,0.0037961238252912761102718255649090169065439701080,-2.42065962981596616288015866302885115146636962890625
868,1.84623093795749337666242466354669659,0.0037961238242302197956869326810169669065439701080,-2.420659629937355727946624028845690190792083740234375
869,1.84623093795643719739016565706774660,0.0037961238231740405234279262020669769065439701080,-2.4206596300581875169655177160166203975677490234375
870,1.84623093795538586717131335612379934,0.0037961238221227103045756252581197169065439701080,-2.4206596301784646385613086749799549579620361328125
871,1.84623093795433935820947886170460118,0.0037961238210762013427411308389215569065439701080,-2.420659630298190645447675706236623227596282958984375
872,1.84623093795329764289926021949808814,0.0037961238200344860325224886324085169065439701080,-2.42065963041736775807066806009970605373382568359375
873,1.84623093795226069382471320290534268,0.0037961238189975369579754720396630569065439701080,-2.420659630535999529143964537070132791996002197265625
874,1.84623093795122848375783607180797799,0.0037961238179653268910983409422983669065439701080,-2.420659630654089067292034087586216628551483154296875
875,1.84623093795020098565706816998876410,0.0037961238169378287903304391230844769065439701080,-2.4206596307716399252285555121488869190216064453125
876,1.84623093794917817266580221118580846,0.0037961238159150157990644803201288369065439701080,-2.420659630888654323399578061071224510669708251953125
