Matrix size,Lowest energy,Difference,Log
1009,0.500000000029884816842025056541186980,2.9884816842025056541186980E-11,10.524549401524848360610800987914386162425608406700
1010,0.500000000029796159588044865667236423,2.9796159588044865667236423E-11,10.525839708313045950895936298329590749947532317150
1011,0.500000000029707852671837002756248234,2.9707852671837002756248234E-11,10.527128738518621130974172304056195085905818516962
1012,0.500000000029619894364617229716601646,2.9619894364617229716601646E-11,10.528416494665101939679379445982332163434580185385
1013,0.500000000029532282947828287781751168,2.9532282947828287781751168E-11,10.529702979268541142374693671198503743378557154908
1014,0.500000000029445016713069386838102135,2.9445016713069386838102135E-11,10.530988194837545683858835148586062241306336998450
1015,0.500000000029358093962026242954282184,2.9358093962026242954282184E-11,10.532272143873306097061486236835305638786255853719
1016,0.500000000029271513006401673442858188,2.9271513006401673442858188E-11,10.533554828869625659183328896603436723260511091212
1017,0.500000000029185272167846732302215459,2.9185272167846732302215459E-11,10.534836252312949476757525805342049474666267554126
1018,0.500000000029099369777892387693686604,2.9099369777892387693686604E-11,10.536116416682393405425467557240867832661677756537
1019,0.500000000029013804177881735958098855,2.9013804177881735958098855E-11,10.537395324449772815692748304596831863151533340808
1020,0.500000000028928573718902745182634857,2.8928573718902745182634857E-11,10.538672978079631239297547722956296062155312557060
1021,0.500000000028843676761721525563845813,2.8843676761721525563845813E-11,10.539949380029268868548143159551431995720628825476
1022,0.500000000028759111676716122515585031,2.8759111676716122515585031E-11,10.541224532748770900580913489608242866868706443133
1023,0.500000000028674876843810825347597569,2.8674876843810825347597569E-11,10.542498438681035766262598427657628041468690130722
1024,0.500000000028590970652410989806054924,2.8590970652410989806054924E-11,10.543771100261803202031322629693881183755536176081
1025,0.500000000028507391501338367529683291,2.8507391501338367529683291E-11,10.545042519919682202427036875202943647225765439418
1026,0.500000000028424137798766940525652325,2.8424137798766940525652325E-11,10.546312700076178815429756133577733345097245521928
1027,0.500000000028341207962159252650583860,2.8341207962159252650583860E-11,10.547581643145723836233954723586962706865837408327
1028,0.500000000028258600418203240111080619,2.8258600418203240111080619E-11,10.548849351535700302897246174418638033126843184731
1029,0.500000000028176313602749546299854278,2.8176313602749546299854278E-11,10.550115827646470953042782496921401369307596865036
1030,0.500000000028094345960749329456763527,2.8094345960749329456763527E-11,10.551381073871405446933010887988878295977368854410
1031,0.500000000028012695946192547120444513,2.8012695946192547120444513E-11,10.552645092596907538483831642823098529967060527207
1032,0.500000000027931362022046722088234460,2.7931362022046722088234460E-11,10.553907886202442057999134185785588414691463349796
1033,0.500000000027850342660196179809899760,2.7850342660196179809899760E-11,10.555169457060561798487278800473519579420530720584
1034,0.500000000027769636341381755564759450,2.7769636341381755564759450E-11,10.556429807536934268434367050262993880089568109238
1035,0.500000000027689241555140968758774863,2.7689241555140968758774863E-11,10.557688939990368289525238158628532284184614528420
1036,0.500000000027609156799748656008703461,2.7609156799748656008703461E-11,10.558946856772840507082325623533687389996393479893
1037,0.500000000027529380582158064500816896,2.7529380582158064500816896E-11,10.560203560229521728239551045655636501177175776141
1038,0.500000000027449911417942396656264462,2.7449911417942396656264462E-11,10.561459052698803166892693358282220353728863627702
1039,0.500000000027370747831236805189747376,2.7370747831236805189747376E-11,10.562713336512322549089777145718537261714315081931
1040,0.500000000027291888354680833200280588,2.7291888354680833200280588E-11,10.563966413994990102800026114092395504759018781413
1041,0.500000000027213331529361298151439690,2.7213331529361298151439690E-11,10.565218287465014389805669432109395714751340541766
1042,0.500000000027135075904755610721676797,2.7135075904755610721676797E-11,10.566468959233928063119430158973978142434383101761
1043,0.500000000027057120038675530174471429,2.7057120038675530174471429E-11,10.567718431606613464576335564856591825953118647029
1044,0.500000000026979462497211349196932413,2.6979462497211349196932413E-11,10.568966706881328115892144217740486803919068849007
1045,0.500000000026902101854676506505126810,2.6902101854676506505126810E-11,10.570213787349730071911524077046036087978069170017
1046,0.500000000026825036693552620271571673,2.6825036693552620271571673E-11,10.571459675296903189477856190095864637568559631770
1047,0.500000000026748265604434945314203415,2.6748265604434945314203415E-11,10.572704373001382206657405313850055573361151981371
1048,0.500000000026671787185978240881427118,2.6671787185978240881427118E-11,10.573947882735177787399339865123456496102485686684
1049,0.500000000026595600044843053791659196,2.6595600044843053791659196E-11,10.575190206763801398139414799987303040334270660162
1050,0.500000000026519702795642412088114858,2.6519702795642412088114858E-11,10.576431347346290037481581324124532745965263328472
1051,0.500000000026444094060888919303514983,2.6444094060888919303514983E-11,10.577671306735230924321848162816224042397162704818
1052,0.500000000026368772470942253616330640,2.6368772470942253616330640E-11,10.578910087176786019062502719597260479264768674199
1053,0.500000000026293736663957066476300165,2.6293736663957066476300165E-11,10.580147690910716410481811443493489560203934577066
1054,0.500000000026218985285831272538276139,2.6218985285831272538276139E-11,10.581384120170406647464884242262922870517719829683
1055,0.500000000026144516990154734506405272,2.6144516990154734506405272E-11,10.582619377182888901728606830700106254228861506115
1056,0.500000000026070330438158334935861705,2.6070330438158334935861705E-11,10.583853464168867038060032846444590270225646315826
1057,0.500000000025996424298663432563493515,2.5996424298663432563493515E-11,10.585086383342740578565478155442042631528693364982
1058,0.500000000025922797248031701848143508,2.5922797248031701848143508E-11,10.586318136912628529031058283176353471259960640746
1059,0.500000000025849447970115349276779497,2.5849447970115349276779497E-11,10.587548727080393121366762461557389997029312613445
1060,0.500000000025776375156207707514545392,2.5776375156207707514545392E-11,10.588778156041663401098899460937225053414188129495
1061,0.500000000025703577504994196904008015,2.5703577504994196904008015E-11,10.590006425985858783287253923226550126479631292161
1062,0.500000000025631053722503662582661913,2.5631053722503662582661913E-11,10.591233539096212385602153077641695238371376405651
1063,0.500000000025558802522060070287744774,2.5558802522060070287744774E-11,10.592459497549794371629710987247257978605125982844
1064,0.500000000025486822624234571828783951,2.5486822624234571828783951E-11,10.593684303517535067645161648114401871139880671850
1065,0.500000000025415112756797923415998493,2.5415112756797923415998493E-11,10.594907959164248086107132471546559985580469846213
1066,0.500000000025343671654673266463713916,2.5343671654673266463713916E-11,10.596130466648653241966686510236396654050989619173
1067,0.500000000025272498059889259273338500,2.5272498059889259273338500E-11,10.597351828123399408063151731518539892890839826739
1068,0.500000000025201590721533558808253919,2.5201590721533558808253919E-11,10.598572045735087273418236070089355473347090513976
1069,0.500000000025130948395706651506335336,2.5130948395706651506335336E-11,10.599791121624291972483135930419947795562962388004
1070,0.500000000025060569845476027972495634,2.5060569845476027972495634E-11,10.601009057925585624242036817530888421260465301477
1071,0.500000000024990453840830702058868238,2.4990453840830702058868238E-11,10.602225856767559722958947874413155476392471392710
1072,0.500000000024920599158636063794124383,2.4920599158636063794124383E-11,10.603441520272847513999666340646366124291374174382
1073,0.500000000024851004582589074582201669,2.4851004582589074582201669E-11,10.604656050558146160289708916997781490859183949606
1074,0.500000000024781668903173790914390476,2.4781668903173790914390476E-11,10.605869449734238889672995937370620676392330228850
1075,0.500000000024712590917617221629010238,2.4712590917617221629010238E-11,10.607081719906016987947397675357130326008894970284
1076,0.500000000024643769429845511354443514,2.4643769429845511354443514E-11,10.608292863172501718243654866401705740554409590203
1077,0.500000000024575203250440450784544490,2.4575203250440450784544490E-11,10.609502881626866108055269523829891731751015340658
1078,0.500000000024506891196596306465371110,2.4506891196596306465371110E-11,10.610711777356456685582785090309106903782361934164
1079,0.500000000024438832092076973644866760,2.4438832092076973644866760E-11,10.611919552442815056099054041569528504952571697944
1080,0.500000000024371024767173444123980331,2.4371024767173444123980331E-11,10.613126208961699413968679103118702376239768094547
1081,0.500000000024303468058661587845758791,2.4303468058661587845758791E-11,10.614331748983105967043335387810378565218070713900
1082,0.500000000024236160809760249206849600,2.4236160809760249206849600E-11,10.615536174571290209766528076513991564889770134195
1083,0.500000000024169101870089649225563206,2.4169101870089649225563206E-11,10.616739487784788157321613494079675187246151759125
1084,0.500000000024102290095630095756162770,2.4102290095630095756162770E-11,10.617941690676437456869904364159918020784972021479
1085,0.500000000024035724348680999563306985,2.4035724348680999563306985E-11,10.619142785293398369523455240503681045248420117290
1086,0.500000000023969403497820188479392841,2.3969403497820188479392841E-11,10.620342773677174718276500808991084771100940321136
1087,0.500000000023903326417863522537252374,2.3903326417863522537252374E-11,10.621541657863634705783753109627518683675447490536
1088,0.500000000023837491989824807178666189,2.3837491989824807178666189E-11,10.622739439883031609658286909954929864517529276758
1089,0.500000000023771899100875997172203333,2.3771899100875997172203333E-11,10.623936121760024445147637799452551639014685575139
1090,0.500000000023706546644307694909336465,2.3706546644307694909336465E-11,10.625131705513698485267240581902189363430786109267
1091,0.500000000023641433519489937621717123,2.3641433519489937621717123E-11,10.626326193157585694070019173859523983240058382779
